FID	IID	pheno
BAM_6496	BAM_6496	0
BAM_6497	BAM_6497	0
BAM_6498	BAM_6498	0
BAM_6500	BAM_6500	0
BAM_6501	BAM_6501	0
BAM_6502	BAM_6502	0
BAM_6542	BAM_6542	0
BAM_6544	BAM_6544	0
BAM_6545	BAM_6545	0
BAM_6547	BAM_6547	0
BAM_6548	BAM_6548	0
BAM_6549	BAM_6549	0
BAM_6552	BAM_6552	0
BAM_6553	BAM_6553	0
BAM_6555	BAM_6555	0
BAM_6557	BAM_6557	0
BAM_6558	BAM_6558	0
BAM_6559	BAM_6559	0
BAM_6560	BAM_6560	0
BAM_6561	BAM_6561	0
BAM_6562	BAM_6562	0
BAM_6564	BAM_6564	0
BAM_6565	BAM_6565	0
BAM_6566	BAM_6566	0
BAM_6567	BAM_6567	0
BAM_6568	BAM_6568	0
BAM_6569	BAM_6569	0
BAM_6598	BAM_6598	0
BAM_6599	BAM_6599	0
BAM_6602	BAM_6602	0
BAM_6603	BAM_6603	0
BAM_6605	BAM_6605	0
BAM_6864	BAM_6864	0
BAM_6865	BAM_6865	0
BAM_6866	BAM_6866	0
BAM_6867	BAM_6867	0
BAM_6868	BAM_6868	0
BAM_6869	BAM_6869	0
BAM_6870	BAM_6870	0
BAM_6871	BAM_6871	0
BAM_6597	BAM_6597	1
APA_223	APA_223	1
BAM_165	BAM_165	1
BAM_166	BAM_166	1
BAM_167	BAM_167	1
BAM_169	BAM_169	1
BAM_171	BAM_171	1
BAM_172	BAM_172	1
BAM_175	BAM_175	1
BAM_182	BAM_182	1
BAM_247	BAM_247	1
BAM_250	BAM_250	1
BAM_6499	BAM_6499	1
BAM_6546	BAM_6546	1
BAM_6550	BAM_6550	1
BAM_6604	BAM_6604	1
BAM_6834	BAM_6834	1
BAM_6835	BAM_6835	1
BAM_6836	BAM_6836	1
BAM_6837	BAM_6837	1
BAM_6838	BAM_6838	1
BAM_6839	BAM_6839	1
BAM_6840	BAM_6840	1
BAM_6843	BAM_6843	1
BAM_6844	BAM_6844	1
BAM_6879	BAM_6879	1
BAM_6494	BAM_6494	0
